"missing_rate","missing_percent","replication","model","realised_training_missing_fraction","gnar_training_rows","rmse","mae","coverage_95"
0.2,20,10,"Persistence",0.203995433789954,4363,4.30309156650187,3.04440369716131,NA
0.2,20,10,"Ridge VAR",0.203995433789954,4363,3.76336244833265,2.63658185776973,NA
0.2,20,10,"OLS GNAR",0.203995433789954,4363,3.84993524195639,2.70787169297122,NA
0.2,20,10,"Bayesian Gaussian GNAR",0.203995433789954,4363,3.84975427215408,2.70793184362035,0.927027027027027
0.3,30,1,"Persistence",0.296689497716895,3029,4.30273000749323,3.04383525282411,NA
0.3,30,1,"Ridge VAR",0.296689497716895,3029,3.96229186998368,2.74678746707434,NA
0.3,30,1,"OLS GNAR",0.296689497716895,3029,3.8315943286889,2.71193529103182,NA
0.3,30,1,"Bayesian Gaussian GNAR",0.296689497716895,3029,3.83135920783227,2.71215361232841,0.92027027027027
0.3,30,2,"Persistence",0.288584474885845,3125,4.3062932743222,3.04875446668083,NA
0.3,30,2,"Ridge VAR",0.288584474885845,3125,3.90846081159183,2.7634349673024,NA
0.3,30,2,"OLS GNAR",0.288584474885845,3125,3.86757655889339,2.71570805200904,NA
0.3,30,2,"Bayesian Gaussian GNAR",0.288584474885845,3125,3.86799575745761,2.71591646899499,0.920720720720721
0.3,30,3,"Persistence",0.29703196347032,3008,4.30526017655081,3.04691144866281,NA
0.3,30,3,"Ridge VAR",0.29703196347032,3008,3.80285488045696,2.71527332611722,NA
0.3,30,3,"OLS GNAR",0.29703196347032,3008,3.83565595485749,2.7107390552466,NA
0.3,30,3,"Bayesian Gaussian GNAR",0.29703196347032,3008,3.83588803787005,2.71111009501331,0.915765765765766
0.3,30,4,"Persistence",0.299315068493151,2958,4.30387570885974,3.04543130602016,NA
0.3,30,4,"Ridge VAR",0.299315068493151,2958,3.854300598149,2.71376420795569,NA
0.3,30,4,"OLS GNAR",0.299315068493151,2958,3.85630292935321,2.70539005608983,NA
0.3,30,4,"Bayesian Gaussian GNAR",0.299315068493151,2958,3.85672776490993,2.7053303093792,0.918468468468468
0.3,30,5,"Persistence",0.290182648401827,3066,4.30988814672809,3.04898131383077,NA
0.3,30,5,"Ridge VAR",0.290182648401827,3066,3.89281017180114,2.80863162177458,NA
0.3,30,5,"OLS GNAR",0.290182648401827,3066,3.8221697564836,2.72052369899703,NA
0.3,30,5,"Bayesian Gaussian GNAR",0.290182648401827,3066,3.82161294051014,2.72036194833861,0.926576576576577
0.3,30,6,"Persistence",0.297716894977169,2999,4.3063539453652,3.04717057028443,NA
0.3,30,6,"Ridge VAR",0.297716894977169,2999,3.87548790190685,2.75822560393921,NA
0.3,30,6,"OLS GNAR",0.297716894977169,2999,3.83401855090187,2.71525911843567,NA
0.3,30,6,"Bayesian Gaussian GNAR",0.297716894977169,2999,3.83378454853177,2.71538738118208,0.931081081081081
0.3,30,7,"Persistence",0.307648401826484,2861,4.30259563308411,3.04442276623038,NA
0.3,30,7,"Ridge VAR",0.307648401826484,2861,3.804235316391,2.70598249838862,NA
0.3,30,7,"OLS GNAR",0.307648401826484,2861,3.85161643186647,2.72436573369026,NA
0.3,30,7,"Bayesian Gaussian GNAR",0.307648401826484,2861,3.85220737824191,2.72410648238612,0.934684684684685
0.3,30,8,"Persistence",0.302625570776256,2916,4.31431835030577,3.0512756941583,NA
0.3,30,8,"Ridge VAR",0.302625570776256,2916,3.86282504572012,2.764596212031,NA
0.3,30,8,"OLS GNAR",0.302625570776256,2916,3.83870407654957,2.71492192648611,NA
0.3,30,8,"Bayesian Gaussian GNAR",0.302625570776256,2916,3.83887535251349,2.71486954700594,0.922072072072072
0.3,30,9,"Persistence",0.294063926940639,3045,4.30115300257999,3.04281235737431,NA
0.3,30,9,"Ridge VAR",0.294063926940639,3045,3.8561079152598,2.71305693603767,NA
0.3,30,9,"OLS GNAR",0.294063926940639,3045,3.83612684404852,2.71181176901822,NA
0.3,30,9,"Bayesian Gaussian GNAR",0.294063926940639,3045,3.83561896355424,2.71187851055183,0.922972972972973
0.3,30,10,"Persistence",0.296461187214612,2968,4.30595559549059,3.04836184280695,NA
0.3,30,10,"Ridge VAR",0.296461187214612,2968,3.93674757154846,2.74701406773359,NA
0.3,30,10,"OLS GNAR",0.296461187214612,2968,3.82321221827412,2.72156106100529,NA
0.3,30,10,"Bayesian Gaussian GNAR",0.296461187214612,2968,3.82317159646747,2.72161314235059,0.925225225225225
0.4,40,1,"Persistence",0.403196347031963,1853,4.31194469261773,3.05315624971386,NA
0.4,40,1,"Ridge VAR",0.403196347031963,1853,3.97834021077967,2.84601998423104,NA
0.4,40,1,"OLS GNAR",0.403196347031963,1853,3.85768789475103,2.70667123036301,NA
