"missing_rate","missing_percent","replication","model","realised_training_missing_fraction","training_rows","rmse","mae","coverage_95"
0.2,20,2,"Bayesian Gaussian GNAR",0.199086757990868,4441,3.82866614771532,2.71521114392467,0.927027027027027
0.2,20,3,"Unrestricted VAR",0.196917808219178,4497,3.79368912443813,2.72549936869808,NA
0.2,20,3,"Bayesian Gaussian GNAR",0.196917808219178,4497,3.83011943877643,2.70989245324093,0.922972972972973
0.2,20,4,"Unrestricted VAR",0.19486301369863,4488,3.76978749194574,2.72174425566664,NA
0.2,20,4,"Bayesian Gaussian GNAR",0.19486301369863,4488,3.84057010281578,2.70108891936768,0.913513513513514
0.2,20,5,"Unrestricted VAR",0.202283105022831,4364,3.8853835264381,2.81861284893251,NA
0.2,20,5,"Bayesian Gaussian GNAR",0.202283105022831,4364,3.82732499492634,2.70636979934963,0.917117117117117
0.2,20,6,"Unrestricted VAR",0.192351598173516,4555,4.06123289226869,2.84542998205024,NA
0.2,20,6,"Bayesian Gaussian GNAR",0.192351598173516,4555,3.82729174561642,2.71199975831732,0.929279279279279
0.2,20,7,"Unrestricted VAR",0.197146118721461,4497,3.91557556895497,2.78837845148292,NA
0.2,20,7,"Bayesian Gaussian GNAR",0.197146118721461,4497,3.84227544579657,2.71562064953592,0.923873873873874
0.2,20,8,"Unrestricted VAR",0.19703196347032,4526,3.93366144091531,2.83688310978597,NA
0.2,20,8,"Bayesian Gaussian GNAR",0.19703196347032,4526,3.82461159936246,2.71110451936977,0.925225225225225
0.2,20,9,"Unrestricted VAR",0.198401826484018,4497,3.90003580325071,2.79554188512287,NA
0.2,20,9,"Bayesian Gaussian GNAR",0.198401826484018,4497,3.82827718459148,2.71247944196037,0.926576576576577
0.2,20,10,"Unrestricted VAR",0.203995433789954,4363,3.83393887452102,2.74903023143607,NA
0.2,20,10,"Bayesian Gaussian GNAR",0.203995433789954,4363,3.84975427215408,2.70793184362035,0.927927927927928
0.3,30,1,"Unrestricted VAR",0.296689497716895,3029,4.29960049257338,3.050897946226,NA
0.3,30,1,"Bayesian Gaussian GNAR",0.296689497716895,3029,3.83135920783227,2.71215361232841,0.92027027027027
0.3,30,2,"Unrestricted VAR",0.288584474885845,3125,3.93913923383721,2.79724005477587,NA
0.3,30,2,"Bayesian Gaussian GNAR",0.288584474885845,3125,3.86799575745761,2.71591646899499,0.920720720720721
0.3,30,3,"Unrestricted VAR",0.29703196347032,3008,4.05749948315638,2.88491653730913,NA
0.3,30,3,"Bayesian Gaussian GNAR",0.29703196347032,3008,3.83588803787005,2.71111009501331,0.914414414414414
0.3,30,4,"Unrestricted VAR",0.299315068493151,2958,4.02893786085462,2.86621255890008,NA
0.3,30,4,"Bayesian Gaussian GNAR",0.299315068493151,2958,3.85672776490993,2.7053303093792,0.920720720720721
0.3,30,5,"Unrestricted VAR",0.290182648401827,3066,4.13982715695827,3.00628361954642,NA
0.3,30,5,"Bayesian Gaussian GNAR",0.290182648401827,3066,3.82161294051014,2.72036194833861,0.927477477477477
0.3,30,6,"Unrestricted VAR",0.297716894977169,2999,4.03561747206028,2.91515942287396,NA
0.3,30,6,"Bayesian Gaussian GNAR",0.297716894977169,2999,3.83378454853177,2.71538738118208,0.931981981981982
0.3,30,7,"Unrestricted VAR",0.307648401826484,2861,3.96853386931444,2.87820362990166,NA
0.3,30,7,"Bayesian Gaussian GNAR",0.307648401826484,2861,3.85220737824191,2.72410648238612,0.932432432432432
0.3,30,8,"Unrestricted VAR",0.302625570776256,2916,3.7179137316404,2.68996615228198,NA
0.3,30,8,"Bayesian Gaussian GNAR",0.302625570776256,2916,3.83887535251349,2.71486954700594,0.921621621621622
0.3,30,9,"Unrestricted VAR",0.294063926940639,3045,4.01452658347532,2.86004581166558,NA
0.3,30,9,"Bayesian Gaussian GNAR",0.294063926940639,3045,3.83561896355424,2.71187851055183,0.926126126126126
0.3,30,10,"Unrestricted VAR",0.296461187214612,2968,4.17017971578699,2.88990398965825,NA
0.3,30,10,"Bayesian Gaussian GNAR",0.296461187214612,2968,3.82317159646747,2.72161314235059,0.928378378378378
0.4,40,1,"Unrestricted VAR",0.403196347031963,1853,3.96545932915024,2.87603696139369,NA
0.4,40,1,"Bayesian Gaussian GNAR",0.403196347031963,1853,3.85760726398336,2.7069345438088,0.918918918918919
0.4,40,2,"Unrestricted VAR",0.398287671232877,1872,3.97008026142068,2.84324628199227,NA
0.4,40,2,"Bayesian Gaussian GNAR",0.398287671232877,1872,3.84278138129806,2.71989545119017,0.928378378378378
0.4,40,3,"Unrestricted VAR",0.39783105022831,1825,3.96414282517548,2.8448834167601,NA
0.4,40,3,"Bayesian Gaussian GNAR",0.39783105022831,1825,3.85002016072166,2.7186275554198,0.926576576576577
0.4,40,4,"Unrestricted VAR",0.389954337899543,1952,3.89994568658262,2.78040896312789,NA
0.4,40,4,"Bayesian Gaussian GNAR",0.389954337899543,1952,3.81695590115969,2.73202959448486,0.926576576576577
0.4,40,5,"Unrestricted VAR",0.399315068493151,1921,4.04550950716623,2.87138260174187,NA
0.4,40,5,"Bayesian Gaussian GNAR",0.399315068493151,1921,3.83267147098077,2.72180347306509,0.922072072072072
0.4,40,6,"Unrestricted VAR",0.396004566210046,1956,4.00449661926019,2.84495588670781,NA
0.4,40,6,"Bayesian Gaussian GNAR",0.396004566210046,1956,3.83219924998627,2.71933541156436,0.918918918918919
0.4,40,7,"Unrestricted VAR",0.397716894977169,1923,4.12028925266788,2.96593723363404,NA
0.4,40,7,"Bayesian Gaussian GNAR",0.397716894977169,1923,3.87010518066035,2.70677817145587,0.917117117117117
0.4,40,8,"Unrestricted VAR",0.405365296803653,1824,3.91609220536951,2.86810206131796,NA
0.4,40,8,"Bayesian Gaussian GNAR",0.405365296803653,1824,3.84686656969633,2.72069800301371,0.931531531531532
0.4,40,9,"Unrestricted VAR",0.393949771689498,1985,4.09583325213682,2.98521289370833,NA
0.4,40,9,"Bayesian Gaussian GNAR",0.393949771689498,1985,3.8329256175027,2.71688940187361,0.925225225225225
0.4,40,10,"Unrestricted VAR",0.386643835616438,2001,4.0822159486027,2.87849425947366,NA
0.4,40,10,"Bayesian Gaussian GNAR",0.386643835616438,2001,3.83387313373181,2.72558697858612,0.932882882882883
0.5,50,1,"Unrestricted VAR",0.491666666666667,1147,4.14059728672475,2.99474545945525,NA
0.5,50,1,"Bayesian Gaussian GNAR",0.491666666666667,1147,3.87648105743103,2.71463985633323,0.918468468468468
0.5,50,2,"Unrestricted VAR",0.498972602739726,1056,4.01189251225233,2.87181183135327,NA
0.5,50,2,"Bayesian Gaussian GNAR",0.498972602739726,1056,3.89393668512835,2.72918540038728,0.920720720720721
0.5,50,3,"Unrestricted VAR",0.493036529680365,1168,3.85055166927703,2.78677421661602,NA
0.5,50,3,"Bayesian Gaussian GNAR",0.493036529680365,1168,3.84969491555585,2.70717525957017,0.912162162162162
0.5,50,4,"Unrestricted VAR",0.497260273972603,1054,4.24139322328198,3.06086697458132,NA
0.5,50,4,"Bayesian Gaussian GNAR",0.497260273972603,1054,3.86326054179397,2.72830677055505,0.92027027027027
0.5,50,5,"Unrestricted VAR",0.491438356164384,1157,3.98723074023642,2.86443481542052,NA
0.5,50,5,"Bayesian Gaussian GNAR",0.491438356164384,1157,3.87063045246539,2.70759941591524,0.92027027027027
0.5,50,6,"Unrestricted VAR",0.508904109589041,1023,4.13240368775848,2.9286464388084,NA
0.5,50,6,"Bayesian Gaussian GNAR",0.508904109589041,1023,3.8486349908025,2.70711244500956,0.914414414414414
0.5,50,7,"Unrestricted VAR",0.491780821917808,1095,3.90475884214481,2.8406640116761,NA
0.5,50,7,"Bayesian Gaussian GNAR",0.491780821917808,1095,3.94404561755995,2.74193337598921,0.917117117117117
