"date","site_id","observed","fitted","residual"
2024-02-22,"SHDG",3.72645833333333,4.69107676358406,-0.964618430250726
2024-02-22,"SHE",3.95545833333333,5.2943822746603,-1.33892394132697
2024-02-22,"BEL2",3.863,5.02850893219493,-1.16550893219493
2024-02-22,"GLKP",2.31529166666667,4.23172800617842,-1.91643633951175
2024-02-22,"LECU",3.84345833333333,4.12766581785468,-0.284207484521355
2024-02-22,"SUN2",2.66016666666667,4.44467005793764,-1.78450339127097
2024-02-22,"TRAN",3.277375,4.1861695937164,-0.908794593716395
2024-02-22,"STOK",4.17409523809524,4.35298387461411,-0.17888863651887
2024-02-22,"BEX",3.12891666666667,4.71304158412205,-1.58412491745538
2024-02-22,"SEND",3.074875,4.5417396087912,-1.4668646087912
2024-02-22,"HUL2",4.06829166666667,5.13403876912173,-1.06574710245506
2024-02-22,"PEMB",3.36491666666667,4.66556834435994,-1.30065167769327
2024-02-22,"WFEN",2.82525,4.1267822085032,-1.3015322085032
2024-02-22,"OSY",3.69395238095238,4.940856450887,-1.24690406993462
2024-02-22,"ACTH",1.36595833333333,2.74657210238878,-1.38061376905545
2024-02-22,"COPP",2.95208333333333,4.11780004779249,-1.16571671445916
2024-02-23,"EB",3.871875,4.38149426766841,-0.509619267668412
2024-02-23,"IMGM",3.66841666666667,4.53881432553453,-0.870397658867858
2024-02-23,"PRES",4.19316666666667,4.25634306646613,-0.0631763997994579
2024-02-23,"BIRR",4.49683333333333,5.18469226480055,-0.687858931467221
2024-02-23,"BLC2",4.47033333333333,5.12355793631967,-0.653224602986344
2024-02-23,"BOTR",3.90920833333333,4.63691992186042,-0.727711588527093
2024-02-23,"GHSR",2.71120833333333,3.54684184145075,-0.835633508117424
2024-02-23,"LEAM",3.33225,4.25639119022237,-0.924141190222369
2024-02-23,"NPT3",4.667875,4.47178257098571,0.196092429014289
2024-02-23,"REA1",2.9845,4.06406129076581,-1.07956129076581
2024-02-23,"SOUT",3.72945833333333,4.60208622014053,-0.872627886807201
2024-02-23,"WREX",2.86745833333333,3.78745424818907,-0.919995914855737
2024-02-23,"LEAR",3.35883333333333,4.10121427639503,-0.742380943061697
2024-02-23,"PLYM",5.66641666666667,5.5877412241176,0.0786754425490681
2024-02-23,"SHDG",4.83883333333333,4.85577638856073,-0.0169430552274026
2024-02-23,"SHE",3.93479166666667,4.84654475081097,-0.911753084144297
2024-02-23,"BEL2",5.10220833333333,4.76404450222815,0.338163831105183
2024-02-23,"GLKP",2.45879166666667,3.12970345285541,-0.67091178618874
2024-02-23,"LECU",3.58008333333333,4.46979151637105,-0.889708183037723
2024-02-23,"SUN2",2.98258333333333,4.03046566263457,-1.04788232930124
2024-02-23,"TRAN",4.61875,4.23320793305856,0.38554206694144
2024-02-23,"STOK",4.60695833333333,4.78709273193858,-0.180134398605253
2024-02-23,"BEX",3.56916666666667,4.57797695735199,-1.00881029068532
2024-02-23,"SEND",3.304875,4.35744424572316,-1.05256924572316
2024-02-23,"HUL2",4.89983333333333,5.16686773140932,-0.267034398075989
2024-02-23,"PEMB",2.89795833333333,3.62685168221879,-0.72889334888546
2024-02-23,"WFEN",2.01066666666667,3.91916705969349,-1.90850039302682
2024-02-23,"OSY",2.722125,4.50529905728286,-1.78317405728286
2024-02-23,"ACTH",1.24595833333333,1.99912778756895,-0.753169454235621
2024-02-23,"COPP",3.90329166666667,4.26877682630266,-0.365485159635991
2024-02-24,"EB",5.7645,4.61933053439362,1.14516946560638
2024-02-24,"IMGM",13.8129583333333,4.80154256062816,9.01141577270514
2024-02-24,"PRES",10.800875,4.78098406443246,6.01989093556754
2024-02-24,"BIRR",9.17754166666667,5.46027143564865,3.71727023101802
2024-02-24,"BLC2",10.32325,5.27132944493088,5.05192055506912
2024-02-24,"BOTR",11.064375,4.83056210498465,6.23381289501535
2024-02-24,"GHSR",4.415375,3.72069352873736,0.694681471262635
2024-02-24,"LEAM",7.36358333333333,4.40165413422974,2.96192919910359
2024-02-24,"NPT3",7.91875,4.96138676905926,2.95736323094074
2024-02-24,"REA1",8.62225,4.21477884827685,4.40747115172315
2024-02-24,"SOUT",7.47054166666667,4.66854085583892,2.80200081082775
2024-02-24,"WREX",6.48283333333333,4.03871569388185,2.44411763945148
2024-02-24,"LEAR",7.45191666666667,4.30809938486103,3.14381728180564
2024-02-24,"PLYM",6.75216666666667,5.91545865448083,0.836708012185841
2024-02-24,"SHDG",11.0869166666667,5.47431751508656,5.61259915158014
2024-02-24,"SHE",11.2942916666667,5.06828172644478,6.22600994022192
2024-02-24,"BEL2",10.13375,5.44691226073315,4.68683773926685
2024-02-24,"GLKP",4.15191666666667,3.43815805476903,0.713758611897637
2024-02-24,"LECU",10.632,4.57224138434572,6.05975861565428
2024-02-24,"SUN2",8.28416666666667,4.37813951630692,3.90602715035975
2024-02-24,"TRAN",7.217,4.9409798557362,2.2760201442638
2024-02-24,"STOK",10.1581666666667,5.14341547119909,5.01475119546761
2024-02-24,"BEX",6.39158333333333,4.96012121320504,1.43146212012829
2024-02-24,"SEND",6.90941666666667,4.66342059268883,2.24599607397784
2024-02-24,"HUL2",13.3726666666667,5.68727923287134,7.68538743379536
2024-02-24,"PEMB",2.54020833333333,3.70429376544456,-1.16408543211123
2024-02-24,"WFEN",5.54641666666667,3.8383154130882,1.70810125357847
2024-02-24,"OSY",4.494875,4.3750330644148,0.119841935585201
2024-02-24,"ACTH",2.22775,2.19585178616916,0.0318982138308406
2024-02-24,"COPP",6.4535,4.82797440237852,1.62552559762148
2024-02-25,"EB",6.77483333333333,7.43170201250078,-0.656868679167448
2024-02-25,"IMGM",7.577625,10.6685839605673,-3.09095896056726
2024-02-25,"PRES",11.1399583333333,9.32772948206481,1.81222885126849
2024-02-25,"BIRR",10.9463333333333,9.30221429082813,1.64411904250517
2024-02-25,"BLC2",12.06075,9.55328595921386,2.50746404078614
2024-02-25,"BOTR",11.3591666666667,9.59239275878243,1.76677390788427
2024-02-25,"GHSR",7.42045833333333,6.46577534956128,0.954682983772053
2024-02-25,"LEAM",7.48825,8.00847119336033,-0.520221193360334
2024-02-25,"NPT3",7.18554166666667,8.26732979229686,-1.08178812563019
2024-02-25,"REA1",9.00554166666667,8.41703173541686,0.588509931249806
2024-02-25,"SOUT",7.750625,8.17179615777308,-0.42117115777308
2024-02-25,"WREX",8.72154166666667,7.48747293734534,1.23406872932133
2024-02-25,"LEAR",7.540375,7.93540237780577,-0.395027377805772
2024-02-25,"PLYM",3.75108333333333,8.4270310986113,-4.67594776527797
2024-02-25,"SHDG",10.59275,9.88384789793259,0.708902102067407
2024-02-25,"SHE",11.3886666666667,9.9059007144654,1.4827659522013
2024-02-25,"BEL2",11.58525,9.40389455773741,2.18135544226259
2024-02-25,"GLKP",7.23483333333333,6.17405343508819,1.06077989824514
2024-02-25,"LECU",6.47108333333333,9.29939733576749,-2.82831400243416
2024-02-25,"SUN2",13.7608333333333,8.44837190848416,5.31246142484914
2024-02-25,"TRAN",13.19,7.99497029447303,5.19502970552697
