"network","lag","stage","nacf","pnacf","abs_nacf","abs_pnacf","selection_period_start","selection_period_end"
"threshold150km",6,0,0.100073488001447,-0.0664625912028809,0.100073488001447,0.0664625912028809,"2024-01-01","2024-08-31"
"threshold150km",6,1,0.0570177123098589,-0.0768353522788629,0.0570177123098589,0.0768353522788629,"2024-01-01","2024-08-31"
"threshold150km",6,2,0.0944455565556858,-0.0472883219295529,0.0944455565556858,0.0472883219295529,"2024-01-01","2024-08-31"
"threshold150km",6,3,0.09817298545325,-0.0295783351017126,0.09817298545325,0.0295783351017126,"2024-01-01","2024-08-31"
"threshold150km",7,0,0.097787358699572,0.0672387062258664,0.097787358699572,0.0672387062258664,"2024-01-01","2024-08-31"
"threshold150km",7,1,0.0528757151099576,0.0329075810708191,0.0528757151099576,0.0329075810708191,"2024-01-01","2024-08-31"
"threshold150km",7,2,0.0940328396212908,0.0539829814628956,0.0940328396212908,0.0539829814628956,"2024-01-01","2024-08-31"
"threshold150km",7,3,0.0869189735932071,0.037671570576181,0.0869189735932071,0.037671570576181,"2024-01-01","2024-08-31"
"threshold150km",8,0,0.0839340343778325,-0.00898182055534701,0.0839340343778325,0.00898182055534701,"2024-01-01","2024-08-31"
"threshold150km",8,1,0.0359755941519336,-0.0329400209626045,0.0359755941519336,0.0329400209626045,"2024-01-01","2024-08-31"
"threshold150km",8,2,0.0813427322413545,-0.00037672464022547,0.0813427322413545,0.00037672464022547,"2024-01-01","2024-08-31"
"threshold150km",8,3,0.072050443672901,-0.00259428836622058,0.072050443672901,0.00259428836622058,"2024-01-01","2024-08-31"
"threshold150km",9,0,0.0754337109288354,0.017765237867223,0.0754337109288354,0.017765237867223,"2024-01-01","2024-08-31"
"threshold150km",9,1,0.0299717334443007,-0.00369213405500745,0.0299717334443007,0.00369213405500745,"2024-01-01","2024-08-31"
"threshold150km",9,2,0.0694799532485554,0.0110271423584417,0.0694799532485554,0.0110271423584417,"2024-01-01","2024-08-31"
"threshold150km",9,3,0.0570529925074087,5.50298873244249e-05,0.0570529925074087,5.50298873244249e-05,"2024-01-01","2024-08-31"
"threshold150km",10,0,0.0973714316765715,0.056397454946554,0.0973714316765715,0.056397454946554,"2024-01-01","2024-08-31"
"threshold150km",10,1,0.0506971599128575,0.0284688237650308,0.0506971599128575,0.0284688237650308,"2024-01-01","2024-08-31"
"threshold150km",10,2,0.0825558923344647,0.0368057252842783,0.0825558923344647,0.0368057252842783,"2024-01-01","2024-08-31"
"threshold150km",10,3,0.0663507637191753,0.0251821958116446,0.0663507637191753,0.0251821958116446,"2024-01-01","2024-08-31"
"threshold150km",11,0,0.113182389378474,0.0365954222410245,0.113182389378474,0.0365954222410245,"2024-01-01","2024-08-31"
"threshold150km",11,1,0.0632416154528514,0.0101506750999757,0.0632416154528514,0.0101506750999757,"2024-01-01","2024-08-31"
"threshold150km",11,2,0.088067019999567,0.018559719328744,0.088067019999567,0.018559719328744,"2024-01-01","2024-08-31"
"threshold150km",11,3,0.0722535241892507,0.0136523221106331,0.0722535241892507,0.0136523221106331,"2024-01-01","2024-08-31"
"threshold150km",12,0,0.10551429614051,-0.00911709660777327,0.10551429614051,0.00911709660777327,"2024-01-01","2024-08-31"
"threshold150km",12,1,0.0630219564405261,-0.0154833322509025,0.0630219564405261,0.0154833322509025,"2024-01-01","2024-08-31"
"threshold150km",12,2,0.0903003105791603,0.00325883385589031,0.0903003105791603,0.00325883385589031,"2024-01-01","2024-08-31"
"threshold150km",12,3,0.0713762116505515,-0.00367242352278374,0.0713762116505515,0.00367242352278374,"2024-01-01","2024-08-31"
