"date","site_id","observed","forecast","error"
2024-10-20,"OSY",7.07645833333333,5.53312320789821,1.54333512543512
2024-10-20,"ACTH",4.666875,4.60302332448895,0.0638516755110494
2024-10-20,"COPP",7.80183333333333,6.21457886730932,1.58725446602401
2024-10-21,"EB",5.89833333333333,6.67330260024912,-0.774969266915795
2024-10-21,"IMGM",9.52113043478261,6.58903755517573,2.93209287960688
2024-10-21,"PRES",7.22095833333333,7.29175620430808,-0.0707978709747525
2024-10-21,"BIRR",12.4931666666667,7.74064202723962,4.75252463942708
2024-10-21,"BLC2",8.54166666666667,9.27303759417308,-0.73137092750641
2024-10-21,"BOTR",11.6794583333333,7.34225945704802,4.33719887628528
2024-10-21,"GHSR",6.29525,6.1184304493571,0.176819550642901
2024-10-21,"LEAM",11.4859166666667,7.14321806751304,4.34269859915366
2024-10-21,"NPT3",11.1125,8.67068515432055,2.44181484567945
2024-10-21,"REA1",10.3047083333333,7.08794638791372,3.21676194541958
2024-10-21,"SOUT",9.086125,7.75260967344821,1.33351532655179
2024-10-21,"WREX",7.048,6.95807318264337,0.0899268173566332
2024-10-21,"LEAR",10.975875,6.92820453371838,4.04767046628162
2024-10-21,"PLYM",12.5807083333333,11.1499720939024,1.4307362394309
2024-10-21,"SHDG",7.51079166666667,7.44754063649368,0.0632510301729923
2024-10-21,"SHE",7.89216666666667,7.8916920302882,0.000474636378468674
2024-10-21,"BEL2",6.43966666666667,7.1068218600791,-0.667155193412428
2024-10-21,"GLKP",6.09079166666667,5.73348484995526,0.357306816711407
2024-10-21,"LECU",11.253,6.80066269948091,4.45233730051909
2024-10-21,"SUN2",4.90383333333333,7.07563211946232,-2.17179878612899
2024-10-21,"TRAN",5.97626086956522,7.58972800671454,-1.61346713714932
2024-10-21,"STOK",9.32395833333333,7.39636470357101,1.92759362976232
2024-10-21,"BEX",8.946625,7.23256937904217,1.71405562095783
2024-10-21,"SEND",8.33229166666667,6.79240962268603,1.53988204398064
2024-10-21,"HUL2",11.3050833333333,7.58407284213826,3.72101049119504
2024-10-21,"PEMB",9.35829166666667,9.20656889052274,0.151722776143931
2024-10-21,"WFEN",10.3271739130435,6.74127486945574,3.58589904358776
2024-10-21,"OSY",9.571625,6.97701611920867,2.59460888079133
