"missing_rate","missing_percent","replication","model","realised_training_missing_fraction","training_rows","rmse","mae"
0.5,50,6,"Hierarchical Bayesian GNAR",0.508904109589041,1023,3.83596499354893,2.69553544398169
0.5,50,7,"Hierarchical Bayesian GNAR",0.491780821917808,1095,3.93607556898604,2.73488419492828
0.5,50,8,"Hierarchical Bayesian GNAR",0.488127853881279,1113,3.82119810320659,2.70886763994007
0.5,50,9,"Hierarchical Bayesian GNAR",0.49486301369863,1147,3.8756629497129,2.72020726976259
0.5,50,10,"Hierarchical Bayesian GNAR",0.506849315068493,1042,3.85683767757725,2.69268363942724
0.6,60,1,"Hierarchical Bayesian GNAR",0.586073059360731,594,3.82588926930955,2.70764110273597
0.6,60,2,"Hierarchical Bayesian GNAR",0.595319634703196,576,3.8992336263399,2.70515073496628
0.6,60,3,"Hierarchical Bayesian GNAR",0.60216894977169,504,3.81720973290532,2.74990825451249
0.6,60,4,"Hierarchical Bayesian GNAR",0.592922374429224,538,3.84749814767146,2.70832209175545
0.6,60,5,"Hierarchical Bayesian GNAR",0.600799086757991,542,3.92844364856549,2.75480519867457
0.6,60,6,"Hierarchical Bayesian GNAR",0.599315068493151,509,3.85824171819542,2.7602664740328
0.6,60,7,"Hierarchical Bayesian GNAR",0.594520547945205,578,3.87534207434589,2.70810062008389
0.6,60,8,"Hierarchical Bayesian GNAR",0.604908675799087,517,3.96250034910616,2.71414229106399
0.6,60,9,"Hierarchical Bayesian GNAR",0.58972602739726,610,3.82145587911798,2.71421586954756
0.6,60,10,"Hierarchical Bayesian GNAR",0.588698630136986,585,3.8436321339955,2.71312896050758
