"","EB","IMGM","PRES","BIRR","BLC2","BOTR","GHSR","LEAM","NPT3","REA1","SOUT","WREX","LEAR","PLYM","SHDG","SHE","BEL2","GLKP","LECU","SUN2","TRAN","STOK","BEX","SEND","HUL2","PEMB","WFEN","OSY","ACTH","COPP"
"SOUT",117.587074398015,312.000497043111,329.484843604862,177.450871454359,340.159576437655,213.339111435208,581.967131646728,153.812643995544,134.353341704872,68.283518697031,0,261.573685869779,154.529715803431,202.652338011692,274.758798724436,278.254964018803,511.203134022097,582.589224059403,191.230724605111,442.049053486341,295.67814531967,241.704244705517,126.417348282576,160.806485011427,323.878175673825,248.727496852663,193.559309578085,195.401612241747,556.688761499007,255.935924468992
"WREX",334.991264428853,196.01637316668,83.2204304078686,98.6026885830154,84.79862952863,94.8731520531624,323.421520595192,129.774118763858,160.250078175753,225.525985657125,261.573685869779,0,128.828705915464,307.153320253054,108.20135521159,114.522288621709,258.564733000726,324.028902376686,134.469774993822,229.813309339979,36.7835730093782,55.3649856423195,278.881025362271,300.65129630752,193.155362443688,180.962161345546,236.964751523433,308.646680292827,306.166244032434,37.5964696139226
"LEAR",207.73110091223,172.092339177909,180.352866996561,30.2345247076539,194.338585839655,58.8424025994933,433.681443920282,0.948510942346356,124.952816999057,102.232617972668,154.529715803431,128.828705915464,0,279.866754096833,120.58477419089,124.450492376065,387.221379781538,434.31268833435,45.8212580991318,287.993032054888,155.716837575244,92.0162517531068,150.187635967541,173.697263889681,180.537089900682,222.803613180646,124.704558828109,186.369943208511,404.376493802637,109.993524673312
"PLYM",315.274661617154,450.148139724718,390.37121098417,281.880760862066,389.541803844127,322.689838979318,610.411889195778,279.798926020894,159.188825562702,254.40657201782,202.652338011692,307.153320253054,279.866754096833,0,381.049373645037,386.843295282424,485.401037410497,610.954579326477,325.617346812257,534.493831506014,342.444699749568,324.988622020401,326.766763420674,361.85488291262,456.524054494511,161.525443827351,375.071122032149,394.846016274858,605.703542440477,326.528405324892
"SHDG",310.031624887675,87.8287865413623,90.2935219695317,103.816901628803,111.490076884462,62.8858949308617,328.217708648861,121.237912385367,222.169752168882,217.149335814124,274.758798724436,108.20135521159,120.58477419089,381.049373645037,0,6.49295344094887,321.011875422366,328.853485700201,87.5725936126694,167.411320449413,102.462707554679,60.6085738720842,240.699867511112,250.880555440506,85.6216693362299,280.419264556771,168.939131560376,246.629273206102,291.447860733314,71.1672251158893
"SHE",311.207441327188,81.5734738375451,93.5025035324454,108.744899337455,114.97016843057,67.4744799911372,328.105125923673,125.073767555019,227.870131910116,219.808891251667,278.254964018803,114.522288621709,124.450492376065,386.843295282424,6.49295344094887,0,324.305287228485,328.74038216671,89.7410448453398,163.794955478094,107.93796993386,67.0636731779799,241.309531622357,250.595537781087,79.1460553915678,286.890380372112,167.688712837012,245.405423376201,290.282564450564,77.5806699946451
"BEL2",593.297582807005,388.070687991876,230.805807608756,356.994422264175,209.549441452179,344.785108462766,176.518674624759,388.169174730919,387.21129596214,483.045074970368,511.203134022097,258.564733000726,387.221379781538,485.401037410497,321.011875422366,324.305287228485,0,176.735274978419,385.612675971404,291.919561020154,233.869209692968,302.030401116418,536.815736326046,556.635812471683,375.661308311899,323.87674659357,484.623402203663,560.479562507252,215.942698541208,281.311612301109
"GLKP",637.217644149791,359.509137205541,254.087773262271,407.164033025108,242.44518291386,378.348518611287,0.63609329891988,435.193746718428,481.437631912548,536.529835754087,582.589224059403,324.028902376686,434.31268833435,610.954579326477,328.853485700201,328.74038216671,176.735274978419,0,413.752302517695,209.859401727013,288.116698565805,342.658355240507,569.355545640696,579.230279921245,343.350383815772,454.978968774023,494.582966000755,571.762016146036,63.0332491501379,326.86885630715
"LECU",223.549598257763,126.753367548709,164.112946171564,53.0302197318968,181.739406671173,40.9065066178249,413.116437200284,45.9568189759673,169.676104076498,130.346882941579,191.230724605111,134.469774993822,45.8212580991318,325.617346812257,87.5725936126694,89.7410448453398,385.612675971404,413.752302517695,0,252.382894016725,151.988690008202,83.7799484305759,156.562670167399,171.832232712198,136.009890833846,260.160441832619,102.511067107644,175.385451152067,378.580192698919,104.725469476542
"SUN2",467.199947073001,160.549604563172,149.242047467657,269.465551922158,158.569020232359,229.836491625934,209.296496745404,288.648762257433,379.626079053929,382.699496781735,442.049053486341,229.813309339979,287.993032054888,534.493831506014,167.411320449413,163.794955478094,291.919561020154,209.859401727013,252.382894016725,0,198.240761569101,212.342564638056,394.51873010929,396.39359559349,143.873693233701,407.932112985534,308.495619393667,381.854621020195,153.900014341493,208.11288178618
"TRAN",363.427874242224,187.830048458666,49.1734768571545,125.941243376922,48.0493902448547,111.088076169892,287.504601237191,156.66097799733,197.024397051569,255.799661516826,295.67814531967,36.7835730093782,155.716837575244,342.444699749568,102.462707554679,107.93796993386,233.869209692968,288.116698565805,151.988690008202,198.240761569101,0,68.2343354945022,303.706041088642,322.777141828607,181.956906952132,209.740540905716,252.585098727375,327.278369722811,269.386296967768,47.4424160647795
"STOK",298.675154555758,145.924431741838,88.570816662596,64.6251283848671,102.463142339549,42.8736097307481,342.028913667466,92.9225396933966,167.780453116619,194.163261945797,241.704244705517,55.3649856423195,92.0162517531068,324.988622020401,60.6085738720842,67.0636731779799,302.030401116418,342.658355240507,83.7799484305759,212.342564638056,68.2343354945022,0,236.590570045771,254.725923615477,145.630338566207,219.847074573506,185.033411226604,259.136484726003,314.998921032931,20.9997023379129
"BEX",73.6660540174574,240.934101142793,320.567345027361,180.335028794518,337.619893141939,195.268778207885,568.719477783927,149.24895118464,219.218237356166,78.2228958274232,126.417348282576,278.881025362271,150.187635967541,326.766763420674,240.699867511112,241.309531622357,536.815736326046,569.355545640696,156.562670167399,394.51873010929,303.706041088642,236.590570045771,0,35.2457787614479,256.301481909445,338.449455846168,92.8524993902656,69.0047778046995,531.338436288923,256.591157330059
"SEND",86.8625188938541,238.467850905091,335.098832109955,203.15497785181,353.375562331882,212.231021872418,578.595655897209,172.79316352942,252.692655555471,112.759858315174,160.806485011427,300.65129630752,173.697263889681,361.85488291262,250.880555440506,250.595537781087,556.635812471683,579.230279921245,171.832232712198,396.39359559349,322.777141828607,254.725923615477,35.2457787614479,0,254.602039351487,371.291048414777,87.9849583042438,36.45597886369,538.177044492956,275.339636197353
"HUL2",329.888684195412,16.6858356984424,153.777449030365,174.647165057139,175.276859237296,134.334280140222,342.739712657255,180.855023934449,297.633704324818,258.492797763874,323.878175673825,193.155362443688,180.537089900682,456.524054494511,85.6216693362299,79.1460553915678,375.661308311899,343.350383815772,136.009890833846,143.873693233701,181.956906952132,145.630338566207,256.301481909445,254.602039351487,0,365.271163899556,166.712001026472,238.271392522626,293.661329750393,156.619606155366
"PEMB",361.76072512395,364.301540889339,258.697794315502,207.184067877269,251.783835548526,237.732687789387,454.464482639277,223.294108665214,119.924421313135,261.338845207947,248.727496852663,180.962161345546,222.803613180646,161.525443827351,280.419264556771,286.890380372112,323.87674659357,454.978968774023,260.160441832619,407.932112985534,209.740540905716,219.847074573506,338.449455846168,371.291048414777,365.271163899556,0,345.559725773954,394.870822633787,455.868439832389,212.117132081517
"WFEN",165.988478870296,150.692476519957,257.03953851662,148.303017681641,276.811821555255,142.606459805135,493.950923803299,124.051255114002,237.001217762789,126.584417165083,193.559309578085,236.964751523433,124.704558828109,375.071122032149,168.939131560376,167.688712837012,484.623402203663,494.582966000755,102.511067107644,308.495619393667,252.585098727375,185.033411226604,92.8524993902656,87.9849583042438,166.712001026472,345.559725773954,0,77.7175883569246,451.68798659566,206.011097278828
"OSY",120.853983625752,221.707984377165,334.275467781103,214.153521334372,353.729027341167,216.272801717086,571.131299782638,185.536595447719,278.199831273819,142.266666598121,195.401612241747,308.646680292827,186.369943208511,394.846016274858,246.629273206102,245.405423376201,560.479562507252,571.762016146036,175.385451152067,381.854621020195,327.278369722811,259.136484726003,69.0047778046995,36.45597886369,238.271392522626,394.870822633787,77.7175883569246,0,527.738233668578,280.102692465252
"ACTH",601.450623088324,310.201905849097,228.211692823287,379.320603545295,221.489955997888,346.411146586077,62.6335925574099,405.203471439937,466.34017002595,505.668431804955,556.688761499007,306.166244032434,404.376493802637,605.703542440477,291.447860733314,290.282564450564,215.942698541208,63.0332491501379,378.580192698919,153.900014341493,269.386296967768,314.998921032931,531.338436288923,538.177044492956,293.661329750393,455.868439832389,451.68798659566,527.738233668578,0,301.92026030793
"COPP",317.519578432678,158.808506602257,73.7837462526248,81.0801675189217,84.9249233859464,63.8300112722847,326.24375574981,110.924561237703,172.144781132562,211.48408232276,255.935924468992,37.5964696139226,109.993524673312,326.528405324892,71.1672251158893,77.5806699946451,281.311612301109,326.86885630715,104.725469476542,208.11288178618,47.4424160647795,20.9997023379129,256.591157330059,275.339636197353,156.619606155366,212.117132081517,206.011097278828,280.102692465252,301.92026030793,0
